pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
HAT-P-2 b,10.659759,2866.812231,7.29,1540,0.06814,0.5172,6380,1.33,1.39,0.53,0
Kepler-592 b,2.39,6.3,2.54,1367,0.0397,0,5913,1.04,1.04,0.18506,0
K2-316 c,1.83,4.01,3.6,423,0.0582,,3436,0.408,0.379,-1.82964,0
Kepler-1108 b,1.46,2.73,4.82,1063,0.0511,0,5406,0.88,0.84,-0.25795,0
2MASS J01033563-5515561 AB b,12.3,4131.79,12.2,,84,,,0.19,,,0
Kepler-292 d,2.23,5.6,2.77,808,0.068,0,5299,0.865,0.826,-0.33691,0
EPIC 206042996 b,1.7,3.53,3.95,,,,4114,0.565,0.5,-0.97996,0
Kepler-1244 b,1.35,2.39,5.34,1839,0.0502,0,6680,1.46,1.77,1.03224,0
Kepler-914 b,1.38,2.48,5.19,1192,0.05454,0,5877,1.1,1.15,0.24467,0
TOI-1062 c,3.1,9.78,1.8,859,0.08,0.14,5328,0.94,0.84,-0.27446,0
Kepler-1326 b,4.18,16.3,1.23,938,0.2743,0,6725,1.45,1.74,0.52296,0
Kepler-191 c,1.86,4.12,3.52,596,0.128,0,5282,0.857,0.789,-0.4145,0
HIP 35173 b,3.61,12.7,1.48,,0.217,0.16,4881,0.79,0.773404,-0.51439,0
HD 40307 d,3.04,9.5,1.86,541,0.1321,0.07,4956,0.77,0.716684,-0.639,0
Kepler-903 c,2.53,6.94,2.35,462,0.30249,0,5682,0.98,0.97,0.36464,0
Kepler-896 b,2.53,6.94,2.35,303,0.56378,0,5262,0.84,0.81,0.48148,0
Kepler-662 b,2.18,5.39,2.86,530,0.1408,0,4897,0.79,0.74,-0.35557,0
Kepler-1287 b,1.54,2.99,4.5,796,0.0976,0,5715,0.96,0.94,-0.09078,0
WASP-183 b,16.47723,159.55066,0.21,1111,0.04632,,5313,0.784,0.871,-0.20873,0
Kepler-1665 b,2.83910787,8.44,2.03,906,0.096,0,5049.84,0.842,0.777785,-0.45048,0
TOI-3693 b,12.59889431,324.1849751,0.89,801,0.0813,0,5321,0.867,0.791,-0.3439,0
Kepler-132 e,1.18,1.76,5.89,414,0.43927,0,6023,1.03,1.1,0.157,0
Kepler-342 e,0.88,0.615,4.96,1897,0.02909,0,6366,1.26,1.34,0.45345,0
CoRoT-27 b,11.287,3302.11,12.6,1500,0.0476,0.065,5900,1.05,1.08,-0.16641,0
Kepler-1733 b,3.63582354,12.8,1.46,1021,0.0933,0,6320,1.273,1.252,0.42985,0
Kepler-846 b,2.48,6.71,2.42,624,0.1399,0,5579,0.94,0.91,-0.21715,0
Kepler-1624 b,5.7,27.6,0.819,540,0.0327,0,3636,0.5,0.47,-1.32262,0
TOI-198 b,1.44,2.67,4.91,368,0.1,,3650,0.467,0.441,-1.43315,0
WASP-188 b,14.81827249,458.6263913,0.78,1666,0.072,0,6850,1.5,1.83,0.74277,0
Kepler-607 c,2.76001201,8.05,2.1,473,0.21507,0,5244,0.808,0.888,-0.38192,0
Kepler-1888 b,1.32578716,2.32,5.47,886,0.0956,0,5557,0.897,1.249,0.37424,0
Kepler-1611 b,0.81,0.457,4.73,1243,0.0586,0,5605,0.94,0.93,-0.113,0
Kepler-499 b,2.17,5.35,2.88,844,0.0598,0,5312,0.87,0.83,-0.27919,0
HD 48948 d,3.24,10.59,1.71,349,0.4894,0.055,4593,0.686,0.679,-0.78885,0
Kepler-1090 b,2.25,5.69,2.74,297,0.63323,0,5321,0.86,0.82,-0.14595,0
Kepler-603 b,2.65,7.51,2.22,731,0.16052,0,5808,1.01,1.01,0.39156,0
Kepler-1268 b,2.03,4.78,3.14,627,0.2383,0,5904,1.06,1.09,0.34483,0
Kepler-299 c,2.65,7.51,2.22,946,0.07,0,5617,1.004,1.032,-0.04352,0
Kepler-1595 b,1.23,2.04,6.02,980,0.051,0,5203,0.84,0.8,-0.36327,0
K2-395 c,3.395,11.4,1.6,,,,5007,0.952,0.783,-0.41264,0
Kepler-1894 b,1.20117759,1.87,5.93,1231,0.0385,0,5772,0.999,0.901,-0.26976,0
HD 134606 d,7.59,44.8,0.563,,1.941,0.092,5576,1.046,1.158,0.06483,0
Kepler-558 b,2.37,6.21,2.56,498,0.1759,0,5242,0.85,0.81,-0.38422,0
Kepler-1235 b,0.79,0.418,4.66,985,0.04836,0,5541,0.93,0.9,-0.15625,0
Kepler-1625 b,6.06,30.6,0.756,350,0.87762,0,5677,0.96,0.94,0.43696,0
TOI-3714 b,11.32107051,222.4798849,0.85,750,0.027,0.03,3660,0.53,0.51,-1.40671,0
HIP 77900 b,12.1,6674.396547,20.7,2507,3319,,13646,,,,0
Kepler-41 b,14.46,177.98,0.33,1790,0.03101,0,5750,1.15,1.29,0.26161,0
Kepler-247 c,4.09,15.7,1.26,686,0.084,0,5100,0.887,0.768,-0.42165,0
Kepler-176 e,1.45,0.52075,0.041,398,0.25654,0,5295,0.87,0.83,-0.40427,0
Kepler-60 d,1.99,4.16,2.91,929,0.10203,0.002,5905,1.041,1.257,0.36906,0
Kepler-809 b,3.01,9.32,1.88,478,0.2901,0,5734,0.99,0.98,0.00145,0
HATS-40 b,17.71022,505.3497,0.49,2101,0.04997,0.312,6460,1.561,2.26,0.90309,0
K2-386 b,2.32,5.99,2.64,,,,5749,0.911,0.97,-0.01919,0
TOI-5174 b,5.351,24.8,0.889,808.37,,,5643.77,1,1.09457,0.03946,0
TOI-540 b,0.903,0.674,5.03,611,0.01223,0,3216,0.159,0.1895,-2.46092,0
HD 24085 b,3.46,11.8,1.57,,0.034,0.22,6034,1.22,1.412551,0.37712,0
Kepler-1095 b,1.21,1.92,5.96,1108,0.0514,0,5658,0.94,0.92,-0.09285,0
Kepler-1459 b,1.36,2.42,5.29,349,0.2829,0,4828,0.78,0.74,-0.52327,0
Kepler-320 b,1.14,1.55,5.75,1292,0.085,0,6435,1.072,1.108,0.37419,0
Kepler-603 d,1.32,2.3,5.5,1098,0.07117,0,5808,1.01,1.01,0.39156,0
Kepler-693 b,10.18,73.8,0.384,600,0.1121,0,4881,0.76,0.72,-0.42704,0
WASP-8 b,12.66617,807.2882,2.47,1059,0.0801,0.31,5600,1.34,1.03,-0.05754,0
WASP-124 b,13.89916,190.698,0.43,1400,0.0449,0.017,6050,1.07,1.02,0.14934,0
Kepler-1727 b,3.17321625,10.2,1.75,757,0.0796,0,5349,0.824,0.82,-0.25065,0
Kepler-1649 b,1.017,1.03,5.38,307,0.0514,0,3240,0.1977,0.2317,-2.28735,0
ITG 15 b,12.1,6674.396547,20.7,2601,435,,,,,,0
OGLE-2018-BLG-0298L b,7.56,44.49597698,0.566,,2.86,,,0.69,,,0
Kepler-253 d,3.17,10.2,1.76,563,0.13,0,5208,0.86,0.786,-0.38741,0
TOI-715 b,1.55,3.02,4.46,234,0.083,,3075,0.225,0.24,-2.30899,0
TOI-1742 b,2.36507598,9.7,4,694.09,0.154,0.3,5815,1.0861,1.131,0.12123,0
TOI-1836 b,8.00321222,38.45723725,0.41,966,0.1597,0,6380,1.307,1.577,0.5682,0
Kepler-1635 b,3.64,12.9,1.47,200,1.12664,0,5347,0.89,0.85,-0.27981,0
TOI-1294 c,14.3,147,0.276,,0.61,0,5718,1.1578,1.5566,0.36847,0
BD+49 828 b,13.5,508.5,1.14,,4.2,0.35,4943,1.52,7.6,1.47,0
Kepler-1445 b,0.96,0.84,5.22,987,0.09587,0,6150,1.13,1.26,0.33963,0
K2-375 b,2.243,5.66,2.76,,,,5822,1.119,1.543,0.39626,0
KMT-2017-BLG-1057L b,5.19,23.5,0.924,,2.36,,,0.57,,,0
Kepler-1055 b,1.23,2.04,6.02,1304,0.0335,0,5723,0.98,0.94,-0.14818,0
OGLE-2017-BLG-0604L b,14.2,160,0.307,,4.06,,,0.7,,,0
WASP-14 b,15.46842,2809.6172,2.25,1872,0.037,0.09,6475,1.62,1.4,0.42732,0
Kepler-967 b,2.35,6.12,2.59,638,0.1027,0,5178,0.84,0.8,-0.71759,0
Kepler-1053 b,0.98,0.904,5.28,953,0.0315,0,4529,0.74,0.69,-0.89512,0
Kepler-1870 b,2.10143764,5.07,3,1046,0.0452,0,5508,0.955,0.84,-0.22577,0
Kepler-258 b,4.06,15.5,1.27,642,0.103,0,4942,0.82,0.915,-0.57541,0
HD 102956 b,13.8,305.1168,0.638,,0.0807,0.037,4985,1.66,4.55,1.06446,0
TOI-3071 b,7.16,68.2,1.02,2155,0.0249,0.09,6177,1.29,1.31,0.41667,0
HAT-P-34 b,13.417173,1058.3739,2.5,1520,0.06774,0.432,6442,1.392,1.53,0.6003,0
TOI-519 b,11.54525012,147.1545524,0.56,687,0.0159,0.33,3322,0.335,0.35,-1.85078,0
OGLE-TR-182 b,12.666,320.995,0.41,1550,0.051,0,5924,1.14,1.14,0.24059,0
Kepler-208 d,1.2,1.87,5.95,999,0.103,0,6092,1.082,1.314,0.30912,0
Kepler-336 d,2.37,6.21,2.56,749,0.154,0,5867,1.09,1.304,0.26,0
Kepler-126 d,2.5,54.59018723,18.398878,475,0.448,0.02,6239,1.108,1.358,0.452,0
Kepler-1709 b,3.12424875,9.93,1.79,472,0.32704,0,5918,1.003,1.043,0.11547,0
Kepler-653 c,0.78,0.399,4.62,2078,0.01855,0,5665,1.02,1.19,0.11872,0
HD 18143 b,3.28,10.80616584,1.68,,0.088,0.224,5078,0.85,0.87,-0.31953,0
WASP-144 b,9.52765,139.8452,0.95,1260,0.0316,0,5200,0.81,0.81,-0.12928,0
HD 178911 B b,12.6,2552.1749,7.01,,0.34,0.11,5588,1.24,1.08,-0.04317,0
GJ 682 c,2.89,8.7,1.98,,0.176,0.1,3028,0.27,0.298255,-2.69897,0
HD 216437 b,13,1334.879309,3.34,,2.57,0.31,5909,1.22,1.394,0.35,0
HD 40307 c,2.46,6.6,2.44,696,0.0799,0.06,4956,0.77,0.716684,-0.639,0
Kepler-451 d,13.5,559.3779963,1.25,,,0,29564,0.48,0.203,1.45,0
K2-170 c,1.8017647,3.9,3.66,,,,5748,0.963657,0.981614,0.0717,0
Kepler-1553 b,1.15,1.6,5.78,926,0.0481,0,5288,0.85,0.81,-0.33811,0
Kepler-1032 b,1.87,4.16,3.5,802,0.0361,0,4647,0.77,0.71,-0.65547,0
K2-63 b,3.22,10.5,1.73,,0.1627,,6771,1.4,1.63,0.21948,0
OGLE-2018-BLG-1428L b,14,240,0.481,,3.3,,,0.43,,,0
EPIC 206024342 d,2.6,7.27,2.27,,,,5724,0.928,1.1,-0.16992,0
HD 147513 b,13.7,385,0.823,,1.32,0.26,5883,1.11,0.98,-0.01,0
Kepler-865 c,0.89,0.64,4.99,914,0.061,0,5440,0.782,0.885,-0.29754,0
OGLE-2019-BLG-0679L b,13.1,1061.546879,2.59,,6.99,,,0.66,,,0
HD 133131 A b,13.6,451.3186,0.986,,1.44,0.33,5799,0.95,0.955014,-0.01658,0
Kepler-1530 c,1.65,3.36,4.11,1167,0.05744,0,5477,0.92,0.88,-0.31086,0
Kepler-858 b,4.87,21.1,1,399,0.33939,0,5653,0.96,0.91,-0.1131,0
LkCa 15 c,,,,,18.6,,4194,,1.60711,-0.19164,0
HD 69830 b,3.17,10.2,1.76,,0.0785,0.1,5385,0.86,0.886947,-0.22,0
Kepler-612 b,2.84,8.45,2.03,1046,0.0452,0,5693,0.98,0.96,0.30512,0
KMT-2018-BLG-2602L b,13.7,365.5026681,0.781,,3.81,,,0.66,,,0
Kepler-252 c,2.15,5.27,2.91,499,0.08,0,4208,0.61,0.549,-0.78566,0
Kepler-762 b,12.68,,,1302,0.0493,0,5944,1.06,1.08,0.31816,0
TOI-2346 b,16.11851425,394.1072247,0.52,1689,0.0473,0.086,6480,1.271,1.38,0.48144,0
TOI-2407 b,4.26,16.8,1.19,705,0.033,0.08,3530,0.548,0.567,-1.34872,0
TOI-2992 b,13.75341932,1058.368595,2.23,1726,0.0434,0.089,6000,1.21,1.545,0.4456,0
TOI-178 d,2.572,3.01,0.976,690,0.0592,,4316,0.65,0.651,-0.87943,0
TOI-5300 b,9.86390302,190.6970442,1.1,1043,0.0295,0,4610,0.67,0.65,-0.76195,0
Kepler-318 b,4.71,19.9,1.05,1039,0.056,0,5746,1.073,1.189,0.00394,0
Kepler-96 b,2.67,8.46,2.26,711,0.1261,0,5690,1,1.02,-0.05231,0
2MASS J21252752-8138278 b,12.4,3813.940884,11,1616,7493,,3592,0.643977,0.672832,-1.16815,0
Kepler-163 c,2.26,5.73,2.73,648,0.152,0,5776,0.882,0.917,-0.13799,0
WASP-73 b,15.91678,908.9938,1.596,1790,0.05512,0,6030,2.52,2.55,0.79502,0
Kepler-647 b,1.17,1.71,5.87,788,0.12237,0,6020,1.03,1.07,0.41834,0
Kepler-1542 c,0.65,0.208,4.16,1287,0.0387,0,5564,0.94,0.99,0.07026,0
K2-12 b,2.44,5.2,1.6,1026,0.0792,0.5,5672,0.965,1.117,0.07181,0
PSR B1620-26 b,13.3,794.575,1.86,,23,,,1.35,,,0
Kepler-1597 b,1.06,1.2,5.54,1497,0.04136,0,6377,1.25,1.39,0.43429,0
Kepler-261 c,2,4.66,3.2,505,0.156,0,5098,0.834,0.794,-0.471,0
OGLE-2017-BLG-1522L b,14,240,0.481,,0.59,,,0.045,,,0
MOA-2010-BLG-477L b,13.6,480,1.05,,2,,5950,0.67,,,0
KMT-2018-BLG-0087L b,10.1,73.10053361,0.39,,0.87,,,0.1,,,0
KMT-2023-BLG-0469L b,7.04,39.41072247,0.621,,2.31,,,0.47,,,0
Kepler-576 b,3.27,10.7,1.68,541,0.179,0,5672,0.99,0.97,-0.21068,0
TOI-1278 b,12.21778896,5879.82553,18,407.87,0.095,0.013,3799,0.54,0.573,-1.21183,0
HD 167677 b,13.2,905.81096,2.16,,2.877,0.182,5474,0.96,0.95271,-0.13215,0
Kepler-949 b,2.91,8.8,1.96,782,0.07739,0,5403,0.89,0.86,-0.44164,0
Kepler-957 b,5.5,25.9,0.855,769,0.0559,0,4963,0.81,0.75,-0.46836,0
HIP 41378 b,2.44317,6.54,2.46,912,,,6226,1.168,1.343,0.39646,0
HIP 41378 e,5.51,26,0.854,,,,6226,1.168,1.343,0.39646,0
TOI-1898 b,9.39553231,129,0.85,674.54,0.269,0.485,6241,1.2484,1.6131,0.55121,0
Kepler-1669 d,1.22,1.98,5.99,669,0.0468,0,4224,0.609,0.603,-0.80265,0
TOI-216.01,10.1,177.9839079,0.76,497,0.2069,0.0046,5026,0.77,0.748,-0.44159,0
Kepler-1194 b,1.51,2.89,4.61,676,0.1212,0,5590,0.94,0.92,-0.127,0
ROXs 12 b,12.2,5085,15.4,,210,0.83,3850,0.87,1.06627,-0.79013,0
WASP-164 b,12.643752,676.9779,1.96,1610,0.02818,0,5806,0.946,0.932,-0.06732,0
TOI-2416 b,9.86390302,953.485221,5.4,1080,0.0831,0.32,5808,1.118,1.236,0.197,0
Kepler-843 b,2.59,7.22,2.28,1523,0.0313,0,5830,1.02,1.03,-0.04723,0
Kepler-1949 b,2.21964541,5.56,2.79,1709,0.0352,0,6028,1.194,1.454,0.7131,0
Kepler-1825 b,1.42200732,2.61,4.99,1520,0.0187,0,5123,0.828,0.847,-0.53158,0
Kepler-579 b,2,4.66,3.2,730,0.0854,0,5636,0.99,0.96,-0.31094,0
Kepler-1190 b,1.33,2.33,5.44,609,0.0845,0,4730,0.76,0.72,-0.7272,0
OGLE-2017-BLG-0173L b,1.62,3.269,4.23,,3.913,,,0.396,,,0
KMT-2017-BLG-2331L b,14.2,171,0.328,,2.14,,,0.4,,,0
Kepler-1643 b,2.32,5.99,2.64,799,0.0531,0,4916,0.845,0.855,-0.47156,0
OGLE-2014-BLG-1722L b,8.59,55.3,0.479,,1.5,,,0.4,,,0
HR 858 c,1.979,3.8,2.9,1309,0.0687,0,6354,1.204,1.258,0.36361,0
GJ 1061 b,1.1,1.37,5.66,,0.021,0.31,2953,0.12,0.156,-2.76955,0
HD 11112 b,12.6,2598.565056,7.14,,13.38,0.285,5905.64,1.07,1.47368,0.37657,0
Kepler-1269 b,1.63,3.29,4.17,657,0.23611,0,5998,1.1,1.15,0.5557,0
K2-409 b,2.482,6.72,2.42,,,,5742,0.886,1.228,0.17248,0
Qatar-6 b,11.903958,212.31044,0.692,1006,0.0423,0,5052,0.822,0.722,-0.51428,0
KOI-984 c,14.1,209.8,0.411,597,0.1467,0.38,5295,0.928,0.818,-0.324,0
KMT-2017-BLG-0849L b,2.41,6.39,2.51,,2.73,,,0.19,,,0
UZ For b,,2002.2,,,5.9,0.04,5286.9,0.7,,,0
Kepler-1791 b,3.12103321,9.91,1.79,1021,0.0761,0,5887,0.985,1.177,0.176,0
Kepler-972 b,4.65,19.5,1.07,1060,0.0734,0,6146,1.15,1.22,0.19129,0
Kepler-978 b,2.99,9.22,1.9,546,0.2726,0,6002,1.07,1.09,0.143,0
Kepler-1132 b,2.35,6.12,2.59,384,0.2881,0,5298,0.87,0.83,-0.37811,0
Kepler-413 b,4.347,67,3.2,,0.3553,0.1181,4700,0.82,0.7761,-0.42994,0
Kepler-1558 b,0.68,0.244,4.26,1019,0.04278,0,5101,0.83,0.79,-0.48006,0
WASP-8 c,12.5,3003.37,8.45,,5.28,0,5600,1.04,1.03,-0.05754,0
Kepler-1983 b,2.33,6.04,2.62,807,0.0689,0,5135,0.812,0.874,-0.48076,0
Kepler-521 b,3.18,10.2,1.74,803,0.17116,0,6406,1.34,1.46,0.67119,0
TOI-1516 b,15.24421375,1004.337766,1.56,1839,,,6520,1.14,1.14,0.39065,0
Kepler-1576 b,1.04,1.12,5.47,1059,0.07211,0,5876,1.05,1.06,-0.06329,0
Kepler-539 c,13.3,762.792,1.78,253,2.42,0.5,5820,1.048,0.952,-0.06048,0
KOI-7368 b,2.22,5.56,2.79,805,0.0678,0,5241,0.879,0.874,-0.31552,0
EPIC 201833600 c,1,0.972,5.34,,,,4326,0.611,0.634,-0.87356,0
HATS-6 b,11.186582,101.38777,0.399,712.8,0.03623,0,3724,0.574,0.57,-1.09983,0
HAT-P-35 b,14.930388,335.62848,0.55,1581,0.04978,0.02,6096,1.236,1.435,0.38307,0
Kepler-343 c,2.02,4.74,3.16,746,0.167,0,5807,1.055,1.433,0.2162,0
Kepler-839 b,2.57,7.13,2.31,626,0.2316,0,6058,1.22,1.31,0.43706,0
Kepler-1386 b,1.24,2.07,5.97,1011,0.068,0,5733,1.02,1.03,0.00882,0
K2-389 c,2.04,4.82,3.12,,,,5782,0.802,1.084,0.10644,0
Kepler-956 b,3,9.27,1.89,1056,0.06017,0,6040,1.1,1.15,0.05208,0
Kepler-339 b,1.42,2.6,4.99,1023,0.055,0,5631,0.87,0.802,-0.31322,0
Kepler-1074 b,1.25,2.1,5.91,568,0.0536,0,4002,0.6,0.57,-1.12071,0
Kepler-1124 b,1.28,2.18,5.71,621,0.0305,0,3658,0.35,0.34,-1.32347,0
TOI-261.01,3.0449863,9.51,1.85,1722.49,0.034792189,,5890.3,0.496728,1.28018,0.24978,0
Kepler-303 c,1.14,1.55,5.75,521,0.057,0,3944,0.575,0.485,-1.0655,0
Kepler-1855 b,1.216205,1.96,5.99,849,0.0115,0,3460,0.385,0.356,-1.2949,0
Kepler-1345 b,2.36,6.17,2.58,693,0.26412,0,6449,1.32,1.55,0.69266,0
Kepler-522 b,6.91,38.2,0.636,761,0.25029,0,6392,1.54,1.98,0.65452,0
Kepler-561 c,2.68,7.65,2.18,989,0.05947,0,5646,0.96,0.94,-0.17974,0
TOI-332 b,3.2,57.2,9.6,1871,0.0159,0,5251,0.88,0.87,-0.22143,0
HD 100546 b,77.3421,2701.54146,0.0321,,53,,10500,2.4,1.85288,1.5,0
Kepler-601 b,1.9,4.27,3.42,833,0.05494,0,5160,0.85,0.79,-0.42817,0
Kepler-1021 b,2.33,6.04,2.62,634,0.1034,0,5431,0.89,0.86,-0.28836,0
K2-319 b,2.79,8.2,2.07,641,0.1516,,5440,0.954,0.898,-0.23747,0
Kepler-523 b,1.96,4.5,3.28,884,0.06159,0,5515,0.93,0.86,-0.27953,0
GJ 3222 b,3.4,11.44182265,1.6,,0.091,0.929,5257.46,0.89,0.931389,-0.252,0
Kepler-141 c,1.41,2.57,5.04,738,0.067,0,4910,0.878,0.787,-0.44625,0
TOI-2768 b,2.63,7.41,2.24,855,0.027,,4008,0.63,0.657,-0.99801,0
Kepler-150 f,3.64,12.9,1.47,,1.24,,5528,0.97,0.905339,-0.16141,0
Kepler-304 c,2.17,5.35,2.88,746,0.054,0,4731,0.737,0.687,-0.6616,0
Kepler-1167 b,1.71,3.57,3.92,1419,0.0175,0,4971,0.79,0.75,-0.53589,0
K2-43 b,4.51,18.5,1.11,939.3,0.03784,0.07,3840.6,0.571,0.542,-1.21241,0
K2-398 b,2.274,5.79,2.71,,,,5946,0.945,1.239,0.25966,0
Kepler-1096 b,1.24,2.07,5.97,794,0.034,0,4306,0.66,0.63,-0.84044,0
TOI-615 b,18.97680433,138.2553571,0.084,1666,0.0678,0.39,6850,1.449,1.732,0.7679,0
HD 4308 b,4.12,15.8915,1.25,,0.12,0,5686,0.93,1.02,-0.004,0
TOI-3464 b,13.7646283,397.2855088,0.83,1693,0.0515,0.25,6370,1.363,1.56,0.55871,0
TOI-4214 b,10.68215861,165.2707716,0.74,1642,0.05018,0.17,6370,1.382,1.434,0.48287,0
TOI-4465 b,14.01122587,1872.009317,3.73,427,0.416,0.24,5545,0.93,1.014,-0.07267,0
TRAPPIST-1 e,0.92,0.692,4.901605,249.7,0.02925,0.0051,2566,0.0898,0.1192,-3.25727,0
Kepler-223 d,5.24,8,0.31,827,0.11956,0.037,5803,1.125,1.72,0.37128,0
Kepler-572 b,2.58,7.18,2.3,553,0.1192,0,5212,0.83,0.79,-0.43426,0
Kepler-143 c,3.37,11.3,1.62,703,0.181,0,5848,0.982,1.359,0.29363,0
ups Leo b,14.2,162.0924876,0.311,,1.18,0.32,4836,1.48,11.22,1.80003,0
Kepler-326 c,1.4,17.4,34.8,889,0.051,0,5105,0.91,0.801,-0.15657,0
Kepler-1299 b,2.98,9.17,1.9,588,0.1357,0,5609,0.94,0.91,-0.10621,0
HD 10442 b,13.6,472.61321,1.03,,2.01,0.132,4912,1.01,1.97,0.31,0
EPIC 212297394 b,1.48,2.79,4.73,1149,,,5171,0.83,0.8,-0.46654,0
K2-19 d,1.11,10,51.4,1252,0.0344,0,5322,0.88,0.82,-0.29196,0
TOI-1410 c,5.63,27,0.831,,0.239,0,4635,0.7941,0.7558,-0.6216,0
OGLE-2018-BLG-0799L b,10.9,82.63538582,0.351,,1.28,,,0.093,,,0
Kepler-241 c,2.57,7.13,2.31,397,0.189,0,4699,0.671,0.668,-0.60729,0
Kepler-1934 b,0.91307734,0.702,5.07,1700,0.02466,0,5925,0.968,1.035,0.1085,0
Kepler-25 d,10,71.9,0.395,,0.416422183,0.13,6354,1.165,1.316,0.4216,0
HD 177565 b,4,15.1,1.3,,0.246,0.0593,5627,1,0.971489,-0.05395,0
KPS-1 b,11.54527,346.4347,1.31,1459,0.0269,0,5165,0.892,0.907,-0.35281,0
Kepler-80 c,2.74,6.74,1.22,495,0.0792,0.0079,4540,0.73,0.678,-0.76955,0
Kepler-80 d,1.53,6.75,7.04,722,0.0372,0.0041,4540,0.73,0.678,-0.76955,0
Kepler-132 b,1.21,1.92,5.96,1082,0.067,0,6003,0.929,1.178,0.211,0
Kepler-845 b,2.04,4.82,3.12,1361,0.01668,0,4913,0.79,0.75,-0.60474,0
Kepler-1968 b,1.50004034,2.86,4.66,744,0.0696,0,5008,0.844,0.788,-0.64972,0
Kepler-106 d,0.95,8.1,,649,0.16063,0,5858,1,1.04,0.08255,0
Kepler-630 b,3.18,10.2,1.74,343,0.56201,0,5829,1.02,1.04,0.30233,0
HD 102117 b,8.47,54.0311,0.489,,0.15,0.12,5655,1.06,1.23,0.15737,0
LHS 475 b,0.991,0.941,5.31,586,0.02037,0,3300,0.262,0.2789,-2.06449,0
GJ 393 b,1.17,1.71,5.87,485,0.05402,,3579,0.426,0.426,-1.57073,0
Qatar-7 b,19.0553,597.5204,0.502,2053,0.0352,0,6387,1.409,1.564,0.56348,0
OGLE-2018-BLG-1126L b,4.41,17.79839079,1.14,,3.23,,,0.69,,,0
Kepler-19 d,5.06,22.5,0.954,,,0.05,5544,0.936,0.859,-0.16056,0
KELT-9 b,21.196219,915.3504,0.53,4050,0.03462,0,10170,2.52,2.362,1.72428,0
Kepler-1086 b,2.44,6.53,2.47,433,0.1198,0,4350,0.7,0.66,-0.85997,0
Kepler-90 i,1.32,2.3,5.5,709,0.120138084,0,6015,1.12,1.29,0.26853,0
Kepler-1467 b,3.3,10.9,1.67,411,0.2388,0,5332,0.86,0.82,-0.35052,0
EPIC 220554210 c,1.6,3.19,4.28,,,,5499,0.94,1,-0.21463,0
HD 192263 b,14.2,177.9848,0.342,486,0.15,0.05,4976,0.66,0.74,-0.47,0
HD 109271 c,5.27,24.154,0.907,,0.196,0.15,5783,1.047,1.294595,0.301,0
KMT-2016-BLG-1397L b,12.7,2200,5.9,,5.1,,,0.45,,,0
HD 29021 b,12.9,1420.692979,3.64,,2.28,0.459,5560,0.85,0.85,-0.18111,0
OGLE-2015-BLG-1771L b,14.3,138,0.259,,0.85,,,0.077,,,0
Kepler-1292 b,1.82,3.97,3.62,1195,0.0443,0,5556,0.95,0.93,-0.09051,0
GJ 876 c,14,226.9846,0.455,,0.12959,0.25591,3293.74,0.32,0.3,-1.90658,0
OGLE-2013-BLG-1721L b,14.1,200,0.392,,2.6,,,0.46,,,0
LHS 1140 c,1.272,1.91,5.1,422,0.027,0.05,3096,0.1844,0.2159,-2.42022,0
GJ 357 d,2.34,6.1,2.62,219.6,0.204,,3505,0.342,0.337,-1.79833,0
TOI-178 e,2.207,3.86,1.98,600,0.0783,,4316,0.65,0.651,-0.87943,0
Kepler-49 b,2.579,9.77,3.082111,509,0.05929,0,4095.6,0.607,0.618,-1.13077,0
WASP-29 b,8.63093,73.1009,0.65,970,0.0457,0.03,4800,0.77,0.79,-0.52509,0
K2-285 e,1.95,10.7,,500.9,0.18041,0,4975,0.83,0.787,-0.42183,0
TOI-1443 b,2.30381001,30,14,520.66,0.147,0,5224,0.7663,0.7511,-0.42022,0
HD 191939 b,3.41,10,1.4,880,0.0804,0.031,5348,0.81,0.94,-0.18709,0
TOI-500 c,2.09,5.03,3.03,,,0.072,4440,0.74,0.678,-0.70002,0
Kepler-637 b,4.75,20.2,1.04,1002,0.16619,0,6096,1.64,2.56,0.38249,0
Kepler-1675 b,3.12483349,9.93,1.79,465,0.32185,0,5853.19,1.06,1.12865,0.12938,0
Kepler-855 b,8.35,52.7,0.497,996,0.0762,0,5835,1.03,1.03,0.33305,0
TOI-1669 c,2.2963977,13,6,1285.16,0.0376,0,5497,0.9867,1.0561,-0.03574,0
Kepler-31 c,5.3,1493.7,0.73,615,0.26,0,6340,1.21,1.22,0.30134,0
Kepler-509 b,2.49,6.76,2.41,584,0.23702,0,6060,1.1,1.2,0.23291,0
Kepler-692 b,3.11,9.85,1.8,639,0.1495,0,5440,0.9,0.86,-0.23346,0
Kepler-1052 b,2.93,8.91,1.95,522,0.20988,0,5888,1.03,1.03,-0.04685,0
KMT-2021-BLG-1150L b,13.9,279.6889982,0.572,,4.5,,,0.73,,,0
Kepler-131 c,0.84,8.25,77.7,615,0.17391,0,5685,1.02,1.03,0.02191,0
Kepler-376 b,1.07,1.24,5.56,1242,0.057,0,5900,0.968,1.175,0.35663,0
K2-126 b,1.97,4.54,3.26,601,0.0656,0.06,4339,0.69,0.65,-0.87762,0
K2-141 c,7,8,0.081,695,0.0683,0.092,4570,0.708,0.681,-0.75,0
