pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
HATS-14 b,11.646151,340.39593,1.191,1276,0.03815,0.142,5346,0.967,0.933,-0.17274,0
K2-9 b,2.25,5.69,2.74,314,0.091,,3390,0.3,0.31,-1.92082,0
HD 1666 b,12.7,2040,5.47,,0.94,0.63,6317,1.5,1.93,0.73,0
HD 67087 b,13.1,973,2.38,,1.08,0.17,6330,1.36,1.55,0.54,0
OGLE-2012-BLG-0563L b,13.6,120,0.262,,0.74,,,0.34,,,0
51 Eri b,13.4,635.66,1.45,700,13.2,0.45,7295,1.75,1.48726,0.85,0
HD 5583 b,12.8,1837.0574,4.81,,0.53,0.076,4830,1.01,9.09,1.61,0
HD 10180 h,9.4,64.4,0.426,,3.381,0.095,5911,1.06,1.109,0.17319,0
Kepler-801 b,2,4.66,3.2,419,0.0795,0,4435,0.67,0.63,-0.79815,0
Kepler-236 b,1.57,3.09,4.39,469,0.065,0,3750,0.596005,0.51,-1.22915,0
Kepler-568 b,2.26,5.73,2.73,429,0.0794,0,3768,0.55,0.53,-1.33039,0
1RXS J160929.1-210524 b,18.647,3000,2.54,1700,330,,4060,0.85,1.31316,-0.37,0
GSC 06214-00210 b,20.1762,5000,3.35,2300,320,,4200,0.9,0.90484,-0.42,0
Kepler-296 c,2,4.66,1.2,606,0.0521,0.33,3740,0.498,0.48,-1.50864,0
K2-10 b,3.84,27,2.6,703,0.137,0.31,5620,0.92,0.98,-0.10088,0
Pr0211 c,12.6,2475.8957,6.8,,5.5,0.71,5300,0.935,0.827,-0.33603,0
Kepler-436 b,2.73,7.9,2.13,322,0.339,0.19,4651,0.729,0.697,-0.701,0
Kepler-296 e,1.53,2.96,4.1,337,0.169,0.33,3740,0.498,0.48,-1.50864,0
Kepler-296 f,1.8,3.89,3.2,274,0.255,0.33,3740,0.498,0.48,-1.50864,0
KELT-6 c,13,1179.1493,2.95,,2.39,0.21,6272,1.126,1.529,0.493,0
HD 220842 b,13.1,1010.6994,2.47,,0.74,0.404,5960,1.13,1.41647,0.35703,0
HIP 109600 b,13.2,851.7844,2.04,,0.706,0.163,5530,0.87,0.971958,-0.07873,0
Kepler-443 b,2.33,6.04,2.62,233,0.495,0.11,4723,0.738,0.706,-0.664,0
Kepler-437 b,2.14,5.22,2.93,308,0.288,0.02,4551,0.707,0.68,-0.762,0
Kepler-1036 b,3.01,9.32,1.88,326,0.47726,0,5533,0.95,0.89,-0.20151,0
Kepler-8 b,15.871944,187.5197,0.27,1680,0.0474,0,6213,1.213,1.486,0.605,0
OGLE-2003-BLG-235L b,13.2,830,1.98,,4.3,,,0.63,,,0
OGLE-2015-BLG-0966L b,4.86,21,1.01,,2.7,,,0.38,,,0
Kepler-439 b,2.24,5.65,2.76,291,0.563,0.03,5431,0.884,0.866,-0.236,0
Kepler-1003 b,1.78,3.82,3.72,1157,0.04333,0,6109,1.11,1.17,0.28151,0
tau Boo b,12.8,1891,4.95,,0.049,0.011,6466.27,1.32,1.42588,0.50548,0
Kepler-43 b,13.663771,1026.5909,5,1620,0.046,0.017,6041,1.32,1.42,0.326,0
HD 141399 e,14.1,209.7678,0.411,,5,0.26,5600,1.07,1.387236,0.2014,0
